Date,AAPL,ABBV,ABT,ADBE,AMGN,AMZN,BAC,CMCSA,COST,CRM,CSCO,CVX,DIS,GOOGL,GS,HD,IBM,INTC,JNJ,JPM,KO,LLY,MA,MCD,MDT,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,T,TMO,TSLA,TXN,UNH,UNP,UPS,V,VZ,WMT,XOM
2021-03-25,117.81153106689453,87.85623931884766,110.18509674072266,450.989990234375,215.18634033203125,152.31300354003906,33.903236389160156,50.16456604003906,329.2654113769531,203.97840881347656,44.46806335449219,88.08776092529297,184.629150390625,101.13945770263672,297.7276306152344,267.9754638671875,106.10487365722656,56.40796661376953,143.3418731689453,136.2549285888672,46.11891174316406,175.1141357421875,349.7299499511719,203.59666442871094,103.25133514404297,277.4324035644531,64.2691879272461,69.56122589111328,224.23916625976562,65.91915893554688,502.8599853515625,121.43112182617188,12.506681442260742,64.507568359375,123.00299072265625,29.247360229492188,120.13892364501953,72.4208984375,116.07244873046875,16.96121597290039,437.9463806152344,213.4633331298828,158.3155517578125,350.219482421875,196.45689392089844,138.5337371826172,201.62716674804688,44.42658996582031,42.09311294555664,47.54300308227539
2021-03-26,118.4172592163086,89.63230895996094,112.98021697998047,469.0899963378906,220.96250915527344,152.60150146484375,34.82149887084961,49.1666259765625,334.6654357910156,207.6024169921875,46.28165817260742,90.10823822021484,183.65122985839844,100.75479888916016,294.8813781738281,273.9538879394531,108.74415588378906,59.00009536743164,145.96145629882812,138.52357482910156,47.023193359375,177.2374267578125,357.3226013183594,204.51385498046875,105.00495910644531,281.6923828125,65.3844223022461,69.4310073852539,228.23484802246094,66.46660614013672,508.04998779296875,125.53733825683594,12.809988975524902,66.03028106689453,125.7073974609375,29.72292137145996,121.91201782226562,73.96421813964844,121.27965545654297,17.09090805053711,455.54193115234375,206.23666381835938,166.92803955078125,355.306396484375,202.66632080078125,142.54759216308594,207.01759338378906,45.04599380493164,42.44491958618164,48.83778381347656
2021-03-29,118.59310913085938,90.26661682128906,113.12828826904297,469.32000732421875,222.79762268066406,153.7864990234375,34.4884033203125,49.1755256652832,338.59185791015625,209.27047729492188,46.23764419555664,89.63874053955078,182.59429931640625,101.80278015136719,293.3862609863281,272.5021057128906,108.32952117919922,58.663570404052734,146.94378662109375,136.3710174560547,47.741310119628906,178.22256469726562,354.17041015625,206.4571990966797,105.53634643554688,289.4558410644531,66.15323638916016,67.60797119140625,227.03807067871094,67.13075256347656,513.9500122070312,126.00933074951172,12.918741226196289,66.85741424560547,127.566162109375,30.026304244995117,123.82015991210938,74.29898834228516,119.71113586425781,17.231876373291016,454.0665283203125,203.76333618164062,165.1363525390625,357.7412414550781,202.7208709716797,142.68341064453125,207.96766662597656,45.54925537109375,42.92863464355469,48.57545471191406
2021-03-30,117.137451171875,90.31736755371094,110.83295440673828,465.4599914550781,218.2448272705078,152.76449584960938,35.10055923461914,48.98841094970703,332.50732421875,208.50596618652344,45.57735061645508,88.80876159667969,183.26600646972656,101.83662414550781,299.0426330566406,274.8646240234375,107.42051696777344,57.9996223449707,146.03224182128906,137.97874450683594,47.12071228027344,177.41915893554688,349.57373046875,204.30494689941406,105.24408721923828,286.6490173339844,65.02112579345703,68.65836334228516,223.7663116455078,66.61019897460938,513.3900146484375,125.49958038330078,12.842412948608398,66.31224822998047,125.56649017333984,29.608137130737305,121.91201782226562,72.95982360839844,118.65327453613281,17.327730178833008,447.0362243652344,211.8733367919922,164.9234619140625,352.55059814453125,201.03892517089844,143.10769653320312,205.4373016357422,45.363426208496094,42.63652801513672,47.97460174560547
2021-03-31,119.33560943603516,91.52678680419922,110.91625213623047,475.3699951171875,217.4234161376953,154.70399475097656,34.830501556396484,48.213226318359375,335.102783203125,210.36264038085938,45.5245246887207,87.85301208496094,182.26832580566406,102.63529968261719,294.53009033203125,275.25238037109375,106.25637817382812,58.208805084228516,145.44815063476562,135.9690704345703,46.730621337890625,178.68165588378906,347.4755859375,203.54217529296875,104.6241226196289,293.1484069824219,65.13095092773438,67.4170150756836,227.54957580566406,67.8576889038086,521.6599731445312,125.44298553466797,13.317829132080078,65.95509338378906,124.60628509521484,29.706520080566406,121.8940200805664,72.46173095703125,120.9148941040039,17.06835174560547,451.8980712890625,222.64332580566406,167.62872314453125,351.1444396972656,200.3843994140625,144.2532958984375,205.27247619628906,45.02276611328125,42.66480255126953,47.2468147277832
2021-04-01,120.16603088378906,91.78050994873047,110.08326721191406,483.3399963378906,217.73800659179688,158.0500030517578,35.550689697265625,48.783477783203125,337.44140625,217.16390991210938,45.76223373413086,88.6578369140625,186.6640167236328,105.98230743408203,295.1065979003906,277.5067138671875,106.23243713378906,58.709049224853516,144.10296630859375,137.29103088378906,46.553314208984375,177.1704864501953,354.5509338378906,204.51385498046875,104.67725372314453,297.259033203125,65.13095092773438,67.90313720703125,233.9001922607422,68.00128173828125,539.4199829101562,125.10310363769531,13.780274391174316,67.4965591430664,124.45649719238281,29.763919830322266,120.8589859008789,71.9064712524414,125.65699768066406,17.181129455566406,451.81884765625,220.5833282470703,170.3517608642578,346.4255676269531,200.2025604248047,145.3479766845703,210.2460174560547,45.13890075683594,42.59883117675781,48.566986083984375
2021-04-05,122.99920654296875,89.76763153076172,110.93477630615234,491.6199951171875,220.22850036621094,161.3365020751953,35.82976150512695,48.828025817871094,343.0315856933594,218.72274780273438,46.471580505371094,87.61827087402344,186.1997528076172,110.42008209228516,291.4136962890625,284.40496826171875,108.38533020019531,60.51897430419922,144.63397216796875,138.01876831054688,46.819278717041016,176.8357391357422,359.4500732421875,207.81932067871094,106.50173950195312,307.4609069824219,65.0549087524414,67.71215057373047,240.38587951660156,68.9077377319336,540.6699829101562,127.5479965209961,13.955621719360352,69.70540618896484,126.1126480102539,29.747520446777344,122.8121109008789,72.347412109375,127.97334289550781,17.31645393371582,460.8195495605469,230.35000610351562,174.67129516601562,349.36065673828125,203.16635131835938,145.91653442382812,212.35952758789062,45.58022689819336,43.795570373535156,47.813819885253906
2021-04-06,123.30207061767578,89.1248550415039,111.03657531738281,491.3399963378906,217.67686462402344,161.1909942626953,35.73073196411133,49.08760452270508,342.3660888671875,219.51705932617188,46.134639739990234,86.8386001586914,187.4147491455078,109.93738555908203,294.58416748046875,282.9441223144531,107.02185821533203,59.62763977050781,144.5985565185547,137.04843139648438,47.15617370605469,174.83673095703125,360.6700134277344,210.59811401367188,107.298828125,304.8233337402344,64.03263092041016,68.65836334228516,239.2180633544922,69.60773468017578,544.530029296875,129.47364807128906,13.829909324645996,69.81819915771484,126.56192016601562,29.55893325805664,122.85710144042969,72.37191009521484,125.90322875976562,17.468698501586914,464.1366882324219,230.5399932861328,172.59576416015625,343.8774108886719,201.01168823242188,146.7821044921875,211.98147583007812,45.76604461669922,44.00603103637695,47.67841339111328
2021-04-07,124.95310974121094,88.98109436035156,111.1661605834961,493.4100036621094,216.82044982910156,163.96949768066406,36.05482864379883,48.872779846191406,341.1206359863281,219.2191925048828,45.90410232543945,87.3499984741211,185.27122497558594,111.41880798339844,294.1247863769531,281.7629089355469,107.58797454833984,60.255218505859375,144.79327392578125,139.19570922851562,47.2359619140625,174.377685546875,362.14361572265625,211.2338104248047,106.83828735351562,311.621337890625,64.31144714355469,68.61497497558594,241.18692016601562,69.47314453125,546.989990234375,128.8883819580078,14.111266136169434,69.92204284667969,126.3328628540039,29.44414520263672,123.07311248779297,72.08610534667969,127.15258026123047,17.440507888793945,461.7998046875,223.6566619873047,171.2653350830078,345.0760192871094,201.2298583984375,145.91653442382812,212.58253479003906,45.680877685546875,43.91179275512695,47.88998031616211
2021-04-08,127.3564224243164,89.73379516601562,110.86073303222656,499.8399963378906,215.73690795898438,164.96499633789062,35.739742279052734,48.6311149597168,343.4117736816406,222.85316467285156,46.02824020385742,86.36909484863281,185.03416442871094,111.9861068725586,298.2590637207031,283.5302734375,107.7394790649414,60.98282241821289,144.2268829345703,139.36639404296875,47.094120025634766,174.65505981445312,369.08087158203125,209.0906982421875,106.85600280761719,311.5516662597656,63.77915573120117,69.6219711303711,244.42015075683594,69.78723907470703,554.5800170898438,126.18869018554688,14.284371376037598,71.06428527832031,125.56649017333984,29.485139846801758,123.54109954833984,73.03333282470703,127.98246002197266,17.301219940185547,466.8794860839844,227.93333435058594,173.13687133789062,344.36822509765625,200.17526245117188,146.8245391845703,213.96893310546875,45.07672882080078,43.883514404296875,47.390682220458984
